numVars,numCons,variableNode_degree_min,variableNode_degree_max,variableNode_degree_avg,consNode_degree_min,consNode_degree_max,consNode_degree_avg,variableNode_cen_min,variableNode_cen_max,variableNode_cen_avg,consNode_cen_min,consNode_cen_max,consNode_cen_avg,predict_SurfaceMaxAvant,predictSurfaceMaxApres
252,63,0,59,1.575396825,2,226,6.301587302,0,0.363064639,0.001886376,0.000434609,0.913438152,0.017049094,72844174,91209806
252,63,0,59,1.575396825,2,226,6.301587302,0,0.363064639,0.001886376,0.000434609,0.913438152,0.017049094,72844174,91209806
255,64,0,59,1.647058824,2,230,6.5625,0,0.349969208,0.001836492,0.000429396,0.912573034,0.016652965,71928473,87418544
317,37,0,31,1.32807571,2,299,11.37837838,0,0.174826235,0.000857292,0.0004155,0.964446992,0.028569179,55020216,82056619
325,40,0,33,1.369230769,2,305,11.125,0,0.178306021,0.000884756,0.000393622,0.96159072,0.026571913,55915230,80336740
325,41,0,34,1.375384615,2,305,10.90243902,0,0.182957966,0.000897,0.000396555,0.960920838,0.025902564,55974197,80101799
326,43,0,36,1.386503067,2,306,10.51162791,0,0.191453562,0.000915912,0.000391354,0.959678844,0.024653339,56108885,79685154
291,5,0,4,1.06185567,2,285,61.8,0,0.026599792,0.000156666,0.002221454,0.976939929,0.199677159,58864760,148021782
290,5,0,4,1.062068966,2,284,61.6,0,0.026688491,0.000157719,0.002228878,0.976852174,0.199674955,59088029,147756743
291,5,0,4,1.068728522,2,287,62.2,0,0.026599792,0.00011324,0.001764095,0.97732042,0.197149775,58176583,148107287
387,190,0,138,2.297157623,1,340,4.678947368,0,0.448060366,0.00180334,0,0.835294945,0.005451818,40135588,62613420
387,188,0,139,2.302325581,1,340,4.739361702,0,0.446925714,0.00176877,0,0.825697457,0.005463407,38935719,61155013
387,188,0,138,2.291989664,1,340,4.718085106,0,0.445243234,0.001779329,0,0.836910237,0.005485143,40460177,62564172
380,187,0,136,2.281578947,2,333,4.636363636,0,0.441581891,0.001820504,0.000134838,0.834388684,0.005500802,40791689,62362605
377,186,0,131,2.315649867,2,333,4.693548387,0,0.424413694,0.00182458,1.59E-06,0.833746542,0.005503044,40181920,58875808
273,5,0,4,1.047619048,2,265,57.2,0,0.028187621,0.000202286,0.002354418,0.968738555,0.199586669,65483053,140341615
274,11,0,9,1.102189781,2,266,27.45454545,0,0.070679154,0.000365908,4.98E-06,0.966592188,0.091142098,57747007,101745978
273,14,0,11,1.128205128,2,264,22,0,0.088029591,0.000486423,4.91E-06,0.9717851,0.072972641,54906369,96576095
275,12,0,9,1.116363636,2,267,25.58333333,0,0.06815933,0.000411595,4.91E-06,0.97302292,0.084658324,56110993,101924708
305,153,0,94,2.554098361,2,282,5.091503268,0,0.375585395,0.002175314,0.00018068,0.857614296,0.00649599,61622060,61713380
307,155,0,96,2.557003257,2,284,5.064516129,0,0.379339048,0.002166064,0.000179195,0.85687735,0.006403422,60595715,61737891
311,163,0,100,2.620578778,2,286,5,0,0.382622217,0.002193119,0.000174882,0.848643351,0.006091057,58062522,59738488
310,158,0,97,2.580645161,2,286,5.063291139,0,0.377690946,0.00216288,0.000177012,0.854410784,0.006290084,59492846,60274678
311,165,0,98,2.697749196,2,287,5.084848485,0,0.370960326,0.002200548,0.000174183,0.848515733,0.005997779,58644960,56621156
311,165,0,98,2.697749196,2,287,5.084848485,0,0.370960326,0.002200548,0.000174183,0.848515733,0.005997779,58644960,56621156
373,158,0,153,1.731903485,1,320,4.088607595,0,0.620009273,0.001745797,0,0.844758712,0.006676936,80289033,97728459
373,158,0,153,1.731903485,1,320,4.088607595,0,0.620009273,0.001745797,0,0.844758712,0.006676936,80289033,97728459
373,158,0,153,1.731903485,1,320,4.088607595,0,0.620009273,0.001745797,0,0.844758712,0.006676936,80289033,97728459
370,159,0,154,1.743243243,1,317,4.056603774,0,0.624004514,0.001771245,0,0.842113018,0.006623194,80372361,97627940
370,159,0,154,1.743243243,1,317,4.056603774,0,0.624004514,0.001771245,0,0.842113018,0.006623194,80372361,97627940
393,188,0,185,1.865139949,1,345,3.89893617,0,0.626677982,0.001663196,0,0.837636234,0.00534766,73571313,90780120
393,190,0,187,1.880407125,1,347,3.889473684,0,0.631273252,0.001649186,0,0.834764685,0.005237943,73772914,90348009
399,199,0,195,1.902255639,1,350,3.814070352,0,0.643429676,0.001661926,0,0.826731532,0.005007246,73387587,88328654
262,2,0,2,1.064885496,18,261,139.5,0,0.000393451,2.70E-05,0.002220416,0.98965257,0.495936493,59810563,108544802
371,136,0,126,1.628032345,1,327,4.441176471,0,0.574096975,0.001655626,0,0.872011114,0.007916821,79862489,99871626
372,139,0,129,1.642473118,1,328,4.395683453,0,0.578053854,0.001661242,0,0.869844755,0.007718591,79682519,99562005
372,138,0,129,1.639784946,1,328,4.420289855,0,0.576446792,0.001646595,0,0.87073233,0.007755752,79697120,99620734
372,138,0,129,1.639784946,1,328,4.420289855,0,0.576446792,0.001646595,0,0.87073233,0.007755752,79697120,99620734
372,143,0,135,1.661290323,1,325,4.321678322,0,0.592035103,0.001677118,0,0.862064912,0.007464809,80579755,99507344
360,139,0,135,1.669444444,1,312,4.323741007,0,0.599136991,0.001711092,0,0.857688298,0.007609786,82129963,100505609
340,168,0,158,1.820588235,1,287,3.68452381,0,0.670502296,0.002092972,0,0.809746552,0.006243385,81773798,96161259
931,731,0,546,2.80236305,1,820,3.569083447,0,0.580645271,0.000920989,0,0.753784337,0.001336864,26007054,65922790
931,740,0,548,2.843179377,1,820,3.577027027,0,0.578672465,0.000926171,0,0.751170895,0.00131897,25529522,65732119
931,740,0,548,2.843179377,1,820,3.577027027,0,0.578672465,0.000926171,0,0.751170895,0.00131897,25529522,65732119
939,745,0,555,2.829605964,1,827,3.566442953,0,0.580956196,0.000916428,0,0.75120217,0.001308996,25682686,67394223
939,746,0,552,2.840255591,1,828,3.575067024,0,0.577114692,0.000917299,0,0.751650549,0.00130745,25572563,67052329
940,745,0,551,2.836170213,1,829,3.57852349,0,0.576649605,0.000915592,0,0.752246257,0.001309877,25637279,67126132
940,742,0,548,2.829787234,1,829,3.58490566,0,0.575342969,0.000914673,0,0.753311839,0.001316691,25740140,66912993
940,742,0,548,2.829787234,1,829,3.58490566,0,0.575342969,0.000914673,0,0.753311839,0.001316691,25740140,66912993
