varname,vg_cen,vg_degree,vcg_cen,vcg_degree,score
v1,0.0433809021469454,438,0.14405380859314396,107,0.3384981241703908
v2,0.032748735079801805,432,0.09543183549071135,87,0.29673207954427094
v3,0.006937037254097553,413,0.010337895805356078,13,0.12168295713137647
v4,8.56303763178287e-05,14,0.007933254120594643,36,0.06661975918872304
v5,6.0559885912989114e-05,11,0.0036566666560546614,18,0.07525696760074804
v6,4.167562041323982e-05,12,0.005260632647698837,20,0.07456089259500348
v7,3.418703237023579e-05,9,0.003918645213932836,14,0.07825282382643278
v8,1.7907493146313983e-05,7,0.003121776611019981,11,0.08010789989360156
v9,1.6279539223921805e-05,10,0.0039311010408565805,15,0.07734792855624734
v10,9.279337357635429e-06,7,0.0028216599729860513,13,0.07826833851369444
v11,6.511815689568722e-06,5,0.0010600511436648491,7,0.08219454052587591
v12,4.883861767176542e-06,6,0.0018430313416848373,8,0.0817833833785736
v13,1.9535447068706167e-06,6,0.002136278702104294,10,0.08025682593402253
v14,0.0,407,0.0,1,0.07998158292058219
v15,0.0,407,0.0002935091524744276,2,0.07921586024251509
v16,0.0,407,0.0,1,0.07998158292058219
v17,0.0,407,0.0002935091524744276,2,0.07921586024251509
v18,0.0,407,0.0,1,0.07998158292058219
v19,0.0,407,0.0002935091524744276,2,0.07921586024251509
v20,0.0,407,0.0,1,0.07998158292058219
v21,0.0,407,0.0002935091524744276,2,0.07921586024251509
v22,0.0,407,0.0,1,0.07998158292058219
v23,0.0,407,0.0,1,0.07998158292058219
v24,0.0,407,0.0,1,0.07998158292058219
v25,0.0,407,0.0,1,0.07998158292058219
v26,0.0,407,0.0,1,0.07998158292058219
v27,0.0,407,0.0,1,0.07998158292058219
v28,0.0,4,0.0006204742813937734,4,0.08455333809738114
v29,0.0,407,0.0002935091524744276,2,0.07921586024251509
v30,0.0,407,0.0,1,0.07998158292058219
v31,0.0,407,0.0002935091524744276,2,0.07921586024251509
v32,0.0,1,1.7896899541123496e-06,2,0.08604978764546206
v33,0.0,407,0.0,1,0.07998158292058219
v34,0.0,407,0.0,1,0.07998158292058219
v35,0.0,407,0.0,1,0.07998158292058219
v36,0.0,407,0.0,1,0.07998158292058219
v37,0.0,6,0.00201908879560785,10,0.08017392175748284
v38,0.0,407,0.0,1,0.07998158292058219
v39,0.0,407,0.0,1,0.07998158292058219
v40,0.0,4,0.0003659686304459739,3,0.08530627393386053
v41,0.0,407,0.0,1,0.07998158292058219
v42,0.0,407,0.0,1,0.07998158292058219
v43,0.0,6,0.0027156801175093797,10,0.08058726588203874
v44,0.0,6,0.002749285954181753,11,0.07978367353433746
v45,0.0,407,0.0,1,0.07998158292058219
v46,0.0,407,0.0,1,0.07998158292058219
v47,0.0,407,0.0,1,0.07998158292058219
v48,0.0,407,0.0,1,0.07998158292058219
v49,0.0,407,0.0,1,0.07998158292058219
v50,0.0,407,0.0,1,0.07998158292058219
v51,0.0,1,1.7896899541123496e-06,2,0.08604978764546206
v52,0.0,407,0.0,1,0.07998158292058219
v53,0.0,1,5.369069862337049e-06,3,0.08512703371514485
v54,0.0,4,0.0007340252325050768,4,0.0846245296515345
v55,0.0,407,0.0,1,0.07998158292058219
v56,0.0,3,0.0007756796269217507,4,0.08466687580777071
v57,0.0,407,0.0,1,0.07998158292058219
v58,0.0,407,0.0,1,0.07998158292058219
v59,0.0,407,0.0,1,0.07998158292058219
v60,0.0,407,0.0,1,0.07998158292058219
v61,0.0,4,0.0005749618420538532,4,0.08452479032333354
v62,0.0,1,0.0,1,0.08698809515650657
v63,0.0,407,0.0,1,0.07998158292058219
v64,0.0,1,1.7896899541123496e-06,2,0.08604978764546206
v65,0.0,407,0.0,1,0.07998158292058219
v66,0.0,407,0.0,1,0.07998158292058219
v67,0.0,6,0.0006403205209876262,5,0.08363339475288234
v68,0.0,407,0.0,1,0.07998158292058219
